team1,team2,winner,winner_team_score,winner_team_wicket,opponent_team_score,opponent_team_wicket,winner_played_at,match_date,time_of_day,series,toss,toss_decision,ground_country
Kenya,India,India,203,3,199,3,home,"Feb 18, 1996",Day,Wills World Cup,India,field first,India
United Arab Emirates,England,England,140,2,136,2,away,"Feb 18, 1996",Day,Wills World Cup,United Arab Emirates,bat first,Pakistan
New Zealand,South Africa,South Africa,178,5,177,5,away,"Feb 20, 1996",Day,Wills World Cup,New Zealand,bat first,Pakistan
Zimbabwe,Sri Lanka,Sri Lanka,229,4,228,4,home,"Feb 21, 1996",Day,Wills World Cup,Zimbabwe,bat first,Sri Lanka
West Indies,India,India,174,5,173,5,home,"Feb 21, 1996",Day and night,Wills World Cup,West Indies,bat first,India
England,Netherlands,England,279,4,230,4,away,"Feb 22, 1996",Day,Wills World Cup,England,bat first,Pakistan
Australia,Kenya,Australia,304,7,207,7,away,"Feb 23, 1996",Day,Wills World Cup,Kenya,field first,India
United Arab Emirates,Pakistan,Pakistan,112,1,109,1,home,"Feb 24, 1996",Day,Wills World Cup,Pakistan,field first,Pakistan
South Africa,England,South Africa,230,10,152,10,away,"Feb 25, 1996",Day,Wills World Cup,South Africa,bat first,Pakistan
Netherlands,Pakistan,Pakistan,151,2,145,2,home,"Feb 26, 1996",Day,Wills World Cup,Netherlands,bat first,Pakistan
Kenya,Zimbabwe,Zimbabwe,137,5,134,5,away,"Feb 27, 1996",Day,Wills World Cup,Zimbabwe,field first,India
New Zealand,United Arab Emirates,New Zealand,276,8,167,8,away,"Feb 27, 1996",Day,Wills World Cup,United Arab Emirates,field first,Pakistan
Australia,India,Australia,258,10,242,10,away,"Feb 27, 1996",Day and night,Wills World Cup,Australia,bat first,India
Kenya,West Indies,Kenya,166,10,93,10,away,"Feb 29, 1996",Day,Wills World Cup,West Indies,field first,India
Pakistan,South Africa,South Africa,243,5,242,5,away,"Feb 29, 1996",Day,Wills World Cup,Pakistan,bat first,Pakistan
Zimbabwe,Australia,Australia,158,2,154,2,away,"Mar 1, 1996",Day,Wills World Cup,Zimbabwe,bat first,India
Netherlands,United Arab Emirates,U.A.E.,220,3,216,3,away,"Mar 1, 1996",Day,Wills World Cup,United Arab Emirates,field first,Pakistan
India,Sri Lanka,Sri Lanka,272,4,271,4,away,"Mar 2, 1996",Day,Wills World Cup,Sri Lanka,field first,India
England,Pakistan,Pakistan,250,3,249,3,home,"Mar 3, 1996",Day,Wills World Cup,England,bat first,Pakistan
Australia,West Indies,West Indies,232,6,229,6,away,"Mar 4, 1996",Day,Wills World Cup,Australia,bat first,India
South Africa,Netherlands,South Africa,328,3,168,3,away,"Mar 5, 1996",Day,Wills World Cup,South Africa,bat first,Pakistan
India,Zimbabwe,India,247,5,207,5,home,"Mar 6, 1996",Day,Wills World Cup,Zimbabwe,field first,India
Sri Lanka,Kenya,Sri Lanka,398,5,254,5,home,"Mar 6, 1996",Day,Wills World Cup,Kenya,field first,Sri Lanka
Pakistan,New Zealand,Pakistan,281,5,235,5,home,"Mar 6, 1996",Day,Wills World Cup,New Zealand,field first,Pakistan
England,Sri Lanka,Sri Lanka,236,5,235,5,away,"Mar 9, 1996",Day,Wills World Cup,England,bat first,Pakistan
India,Pakistan,India,287,8,248,8,home,"Mar 9, 1996",Day and night,Wills World Cup,India,bat first,India
West Indies,South Africa,West Indies,264,8,245,8,away,"Mar 11, 1996",Day,Wills World Cup,West Indies,bat first,Pakistan
New Zealand,Australia,Australia,289,4,286,4,away,"Mar 11, 1996",Day and night,Wills World Cup,New Zealand,bat first,India
Sri Lanka,India,Sri Lanka,251,8,120,8,away,"Mar 13, 1996",Day and night,Wills World Cup,India,field first,India
Australia,Sri Lanka,Sri Lanka,245,3,241,3,away,"Mar 17, 1996",Day and night,Wills World Cup,Sri Lanka,field first,Pakistan
New Zealand,West Indies,West Indies,247,9,243,9,home,"Mar 26, 1996",Day,New Zealand tour of West Indies,West Indies,field first,West Indies
West Indies,New Zealand,New Zealand,239,6,238,6,away,"Mar 29, 1996",Day,New Zealand tour of West Indies,New Zealand,field first,West Indies
New Zealand,West Indies,West Indies,225,3,219,3,home,"Mar 30, 1996",Day,New Zealand tour of West Indies,New Zealand,bat first,West Indies
Sri Lanka,Pakistan,Sri Lanka,349,9,315,9,away,"Apr 2, 1996",Day,Singer Cup,Pakistan,field first,Singapore
India,Sri Lanka,India,199,10,187,10,away,"Apr 3, 1996",Day,Singer Cup,India,bat first,Singapore
New Zealand,West Indies,New Zealand,158,10,154,10,away,"Apr 3, 1996",Day,New Zealand tour of West Indies,West Indies,field first,Guyana
India,Pakistan,Pakistan,190,2,226,2,away,"Apr 5, 1996",Day,Singer Cup,Pakistan,field first,Singapore
New Zealand,West Indies,West Indies,242,3,241,3,home,"Apr 6, 1996",Day,New Zealand tour of West Indies,West Indies,field first,West Indies
Pakistan,Sri Lanka,Pakistan,215,10,172,10,away,"Apr 7, 1996",Day,Singer Cup,Sri Lanka,field first,Singapore
Pakistan,India,Pakistan,271,5,233,5,away,"Apr 12, 1996",Day,Pepsi Sharjah Cup,India,field first,United Arab Emirates
South Africa,Pakistan,South Africa,314,3,171,3,away,"Apr 13, 1996",Day,Pepsi Sharjah Cup,South Africa,bat first,United Arab Emirates
Sri Lanka,West Indies,Sri Lanka,251,10,216,10,away,"Apr 13, 1996",Day,Sri Lanka tour of West Indies,Sri Lanka,bat first,West Indies
South Africa,India,South Africa,288,6,208,6,away,"Apr 14, 1996",Day,Pepsi Sharjah Cup,South Africa,bat first,United Arab Emirates
India,Pakistan,India,305,5,277,5,away,"Apr 15, 1996",Day,Pepsi Sharjah Cup,India,bat first,United Arab Emirates
Pakistan,South Africa,South Africa,189,2,188,2,away,"Apr 16, 1996",Day,Pepsi Sharjah Cup,Pakistan,bat first,United Arab Emirates
India,South Africa,South Africa,216,5,215,5,away,"Apr 17, 1996",Day,Pepsi Sharjah Cup,India,bat first,United Arab Emirates
South Africa,India,South Africa,287,5,249,5,away,"Apr 19, 1996",Day,Pepsi Sharjah Cup,South Africa,bat first,United Arab Emirates
India,England,England,162,4,158,4,home,"May 25, 1996",Day,India tour of England,England,field first,England
India,England,England,239,6,236,6,home,"May 26-27, 1996",Day,India tour of England,India,bat first,England
Australia,Zimbabwe,Australia,263,7,138,7,away,"Aug 26, 1996",Day and night,Singer World Series,Australia,bat first,Sri Lanka
India,Sri Lanka,Sri Lanka,230,1,226,1,home,"Aug 28, 1996",Day and night,Singer World Series,India,bat first,Sri Lanka
Pakistan,England,England,226,5,225,5,home,"Aug 29, 1996",Day,Pakistan tour of England and Scotland,Pakistan,bat first,England
Australia,Sri Lanka,Sri Lanka,232,6,228,6,home,"Aug 30, 1996",Day and night,Singer World Series,Australia,bat first,Sri Lanka
England,Pakistan,England,292,8,185,8,home,"Aug 31, 1996",Day,Pakistan tour of England and Scotland,Pakistan,field first,England
Zimbabwe,India,India,229,3,226,3,away,"Sep 1, 1996",Day,Singer World Series,India,field first,Sri Lanka
England,Pakistan,Pakistan,247,8,246,8,away,"Sep 1, 1996",Day,Pakistan tour of England and Scotland,England,bat first,England
Zimbabwe,Sri Lanka,Sri Lanka,228,4,227,4,home,"Sep 3, 1996",Day,Singer World Series,Sri Lanka,field first,Sri Lanka
India,Australia,Australia,202,7,201,7,away,"Sep 6, 1996",Day,Singer World Series,Australia,field first,Sri Lanka
Sri Lanka,Australia,Sri Lanka,234,3,184,3,home,"Sep 7, 1996",Day,Singer World Series,Australia,field first,Sri Lanka
Pakistan,India,India,173,2,170,2,away,"Sep 16, 1996",Day,Pakistan tour of Canada,India,field first,Canada
India,Pakistan,Pakistan,266,8,264,8,away,"Sep 17, 1996",Day,Pakistan tour of Canada,Pakistan,field first,Canada
India,Pakistan,India,191,10,136,10,away,"Sep 18, 1996",Day,Pakistan tour of Canada,India,bat first,Canada
Pakistan,India,Pakistan,258,8,161,8,away,"Sep 21, 1996",Day,Pakistan tour of Canada,India,field first,Canada
Pakistan,India,Pakistan,213,9,161,9,away,"Sep 23, 1996",Day,Pakistan tour of Canada,Pakistan,bat first,Canada
Kenya,Sri Lanka,Sri Lanka,190,3,188,3,away,"Sep 28, 1996",Day,KCA Centenary Tournament,Sri Lanka,field first,Kenya
South Africa,Pakistan,South Africa,321,8,259,8,away,"Sep 29, 1996",Day,KCA Centenary Tournament,Pakistan,field first,Kenya
South Africa,Sri Lanka,Sri Lanka,170,8,169,8,away,"Oct 1, 1996",Day,KCA Centenary Tournament,South Africa,bat first,Kenya
Kenya,Pakistan,Pakistan,149,6,148,6,away,"Oct 2, 1996",Day,KCA Centenary Tournament,Kenya,bat first,Kenya
South Africa,Kenya,South Africa,305,8,103,8,away,"Oct 3, 1996",Day,KCA Centenary Tournament,South Africa,bat first,Kenya
Pakistan,Sri Lanka,Pakistan,371,9,289,9,away,"Oct 4, 1996",Day,KCA Centenary Tournament,Sri Lanka,field first,Kenya
Pakistan,South Africa,South Africa,204,3,203,3,away,"Oct 6, 1996",Day,KCA Centenary Tournament,Pakistan,bat first,Kenya
South Africa,India,South Africa,261,7,214,7,away,"Oct 17, 1996",Day and night,Titan Cup,South Africa,bat first,India
Australia,South Africa,South Africa,220,3,219,3,away,"Oct 19, 1996",Day,Titan Cup,Australia,bat first,India
Australia,India,India,216,8,215,8,home,"Oct 21, 1996",Day and night,Titan Cup,Australia,bat first,India
South Africa,India,South Africa,249,6,222,6,away,"Oct 23, 1996",Day,Titan Cup,India,field first,India
Australia,South Africa,South Africa,218,8,215,8,away,"Oct 25, 1996",Day,Titan Cup,Australia,bat first,India
India,South Africa,South Africa,188,5,185,5,away,"Oct 29, 1996",Day,Titan Cup,India,bat first,India
Zimbabwe,Pakistan,Pakistan,239,7,237,7,home,"Oct 30, 1996",Day,Zimbabwe tour of Pakistan,Zimbabwe,bat first,Pakistan
Australia,South Africa,South Africa,239,2,238,2,away,"Nov 1, 1996",Day,Titan Cup,Australia,bat first,India
Zimbabwe,Pakistan,Pakistan,196,1,195,1,home,"Nov 1, 1996",Day,Zimbabwe tour of Pakistan,Zimbabwe,bat first,Pakistan
Pakistan,Zimbabwe,Pakistan,264,9,147,9,home,"Nov 3, 1996",Day,Zimbabwe tour of Pakistan,Pakistan,bat first,Pakistan
India,Australia,India,289,6,284,6,home,"Nov 3, 1996",Day and night,Titan Cup,Australia,field first,India
India,South Africa,India,220,7,185,7,home,"Nov 6, 1996",Day and night,Titan Cup,India,bat first,India
New Zealand,Sri Lanka,New Zealand,206,8,177,8,away,"Nov 7, 1996",Day,Singer Champions Trophy,Sri Lanka,field first,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,206,10,131,10,away,"Nov 8, 1996",Day,Singer Champions Trophy,Pakistan,field first,United Arab Emirates
New Zealand,Pakistan,Pakistan,198,6,197,6,away,"Nov 10, 1996",Day,Singer Champions Trophy,New Zealand,bat first,United Arab Emirates
Sri Lanka,Pakistan,Pakistan,193,2,189,2,away,"Nov 12, 1996",Day,Singer Champions Trophy,Sri Lanka,bat first,United Arab Emirates
New Zealand,Pakistan,Pakistan,196,6,192,6,away,"Nov 13, 1996",Day,Singer Champions Trophy,Pakistan,field first,United Arab Emirates
Pakistan,New Zealand,Pakistan,160,10,119,10,away,"Nov 15, 1996",Day,Singer Champions Trophy,New Zealand,field first,United Arab Emirates
Pakistan,New Zealand,Pakistan,228,8,217,8,home,"Dec 4, 1996",Day,New Zealand tour of Pakistan,Pakistan,bat first,Pakistan
West Indies,Australia,Australia,173,5,172,5,home,"Dec 6, 1996",Day and night,Carlton & United Series,West Indies,bat first,Australia
Pakistan,New Zealand,Pakistan,277,9,231,9,home,"Dec 6, 1996",Day,New Zealand tour of Pakistan,Pakistan,bat first,Pakistan
West Indies,Australia,Australia,162,2,161,2,home,"Dec 8, 1996",Day and night,Carlton & United Series,West Indies,bat first,Australia
Pakistan,New Zealand,New Zealand,235,3,234,3,away,"Dec 8, 1996",Day,New Zealand tour of Pakistan,Pakistan,bat first,Pakistan
India,South Africa,India,267,6,193,6,home,"Dec 14, 1996",Day and night,South Africa tour of India,India,bat first,India
Pakistan,Australia,Pakistan,223,10,211,10,away,"Dec 15, 1996",Day,Carlton & United Series,Pakistan,bat first,Australia
England,Zimbabwe,Zimbabwe,153,8,152,8,home,"Dec 15, 1996",Day,England tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Pakistan,West Indies,West Indies,177,3,176,3,away,"Dec 17, 1996",Day,Carlton & United Series,West Indies,field first,Australia
Australia,Pakistan,Pakistan,203,6,199,6,away,"Jan 1, 1997",Day and night,Carlton & United Series,Australia,bat first,Australia
Zimbabwe,England,Zimbabwe,200,10,179,10,home,"Jan 1, 1997",Day,England tour of Zimbabwe,England,field first,Zimbabwe
Pakistan,West Indies,West Indies,198,4,197,4,away,"Jan 3, 1997",Day and night,Carlton & United Series,West Indies,field first,Australia
Zimbabwe,England,Zimbabwe,249,7,118,7,home,"Jan 3, 1997",Day,England tour of Zimbabwe,England,field first,Zimbabwe
Australia,West Indies,West Indies,284,3,281,3,away,"Jan 5, 1997",Day and night,Carlton & United Series,Australia,bat first,Australia
Pakistan,Australia,Pakistan,149,10,120,10,away,"Jan 7, 1997",Day,Carlton & United Series,Pakistan,bat first,Australia
Pakistan,West Indies,West Indies,258,5,257,5,away,"Jan 10, 1997",Day and night,Carlton & United Series,West Indies,field first,Australia
Australia,West Indies,West Indies,269,6,267,6,away,"Jan 12, 1997",Day,Carlton & United Series,Australia,bat first,Australia
West Indies,Pakistan,Pakistan,183,2,181,2,away,"Jan 14, 1997",Day and night,Carlton & United Series,Pakistan,field first,Australia
Pakistan,Australia,Australia,182,7,181,7,home,"Jan 16, 1997",Day and night,Carlton & United Series,Pakistan,bat first,Australia
South Africa,India,South Africa,270,4,231,4,home,"Jan 23, 1997",Day and night,Standard Bank International One-Day Series,South Africa,bat first,South Africa
Zimbabwe,South Africa,South Africa,212,5,211,5,home,"Jan 25, 1997",Day and night,Standard Bank International One-Day Series,Zimbabwe,bat first,South Africa
Zimbabwe,South Africa,South Africa,229,5,226,5,home,"Jan 29, 1997",Day and night,Standard Bank International One-Day Series,Zimbabwe,bat first,South Africa
Zimbabwe,South Africa,South Africa,259,6,256,6,home,"Jan 31, 1997",Day and night,Standard Bank International One-Day Series,Zimbabwe,bat first,South Africa
India,South Africa,South Africa,180,4,179,4,home,"Feb 2, 1997",Day,Standard Bank International One-Day Series,India,bat first,South Africa
India,South Africa,South Africa,236,4,232,4,home,"Feb 4, 1997",Day and night,Standard Bank International One-Day Series,India,bat first,South Africa
India,Zimbabwe,Zimbabwe,171,7,216,7,away,"Feb 7, 1997",Day and night,Standard Bank International One-Day Series,India,bat first,South Africa
Zimbabwe,India,India,241,4,240,4,away,"Feb 9, 1997",Day,Standard Bank International One-Day Series,India,field first,South Africa
South Africa,India,South Africa,278,8,234,8,home,"Feb 13, 1997",Day and night,Standard Bank International One-Day Series,South Africa,bat first,South Africa
India,Zimbabwe,Zimbabwe,139,2,168,2,home,"Feb 15, 1997",Day,India tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
New Zealand,England,England,226,6,222,6,away,"Feb 20, 1997",Day and night,England tour of New Zealand,New Zealand,bat first,New Zealand
New Zealand,England,England,134,4,253,4,away,"Feb 23, 1997",Day,England tour of New Zealand,New Zealand,bat first,New Zealand
New Zealand,England,New Zealand,153,10,144,10,home,"Mar 2, 1997",Day,England tour of New Zealand,England,field first,New Zealand
New Zealand,England,New Zealand,228,8,200,8,home,"Mar 4, 1997",Day,England tour of New Zealand,New Zealand,bat first,New Zealand
New Zealand,Sri Lanka,Sri Lanka,202,4,201,4,away,"Mar 25, 1997",Day and night,Sri Lanka tour of New Zealand,Sri Lanka,field first,New Zealand
New Zealand,Sri Lanka,New Zealand,201,10,132,10,home,"Mar 27, 1997",Day,Sri Lanka tour of New Zealand,Sri Lanka,field first,New Zealand
Australia,South Africa,South Africa,227,4,223,4,home,"Mar 29, 1997",Day,Australia tour of South Africa,South Africa,field first,South Africa
South Africa,Australia,Australia,222,3,221,3,away,"Mar 31, 1997",Day,Australia tour of South Africa,Australia,field first,South Africa
South Africa,Australia,South Africa,245,8,199,8,home,"Apr 2, 1997",Day and night,Australia tour of South Africa,Australia,field first,South Africa
Zimbabwe,Sri Lanka,Sri Lanka,188,3,187,3,away,"Apr 3, 1997",Day,Singer-Akai Cup,Sri Lanka,field first,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,243,8,224,8,away,"Apr 4, 1997",Day,Singer-Akai Cup,Pakistan,field first,United Arab Emirates
Australia,South Africa,Australia,211,9,196,9,away,"Apr 5, 1997",Day and night,Australia tour of South Africa,Australia,bat first,South Africa
Pakistan,Zimbabwe,Pakistan,187,10,94,10,away,"Apr 6, 1997",Day,Singer-Akai Cup,Pakistan,bat first,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,251,7,200,7,away,"Apr 7, 1997",Day,Singer-Akai Cup,Sri Lanka,bat first,United Arab Emirates
Zimbabwe,Sri Lanka,Zimbabwe,203,10,153,10,away,"Apr 8, 1997",Day,Singer-Akai Cup,Zimbabwe,bat first,United Arab Emirates
Australia,South Africa,Australia,258,7,250,7,away,"Apr 8, 1997",Day and night,Australia tour of South Africa,Australia,bat first,South Africa
Pakistan,Zimbabwe,Pakistan,151,9,119,9,away,"Apr 9, 1997",Day,Singer-Akai Cup,Pakistan,bat first,United Arab Emirates
South Africa,Australia,Australia,287,5,284,5,away,"Apr 10, 1997",Day and night,Australia tour of South Africa,South Africa,bat first,South Africa
Pakistan,Sri Lanka,Sri Lanka,215,6,214,6,away,"Apr 11, 1997",Day,Singer-Akai Cup,Pakistan,bat first,United Arab Emirates
South Africa,Australia,South Africa,310,6,201,6,home,"Apr 13, 1997",Day,Australia tour of South Africa,Australia,field first,South Africa
India,West Indies,West Indies,149,2,179,2,home,"Apr 26, 1997",Day,India tour of West Indies,India,bat first,West Indies
West Indies,India,India,116,0,121,0,away,"Apr 27, 1997",Day,India tour of West Indies,India,field first,West Indies
West Indies,India,West Indies,249,9,231,9,home,"Apr 30, 1997",Day,India tour of West Indies,India,field first,West Indies
India,West Indies,West Indies,200,0,199,0,home,"May 3, 1997",Day,India tour of West Indies,West Indies,field first,West Indies
New Zealand,Pakistan,New Zealand,285,7,263,7,away,"May 9, 1997",Day and night,Pepsi Independence Cup,Pakistan,field first,India
Pakistan,Sri Lanka,Pakistan,289,6,259,6,away,"May 12, 1997",Day and night,Pepsi Independence Cup,Pakistan,bat first,India
New Zealand,India,India,221,2,220,2,home,"May 14, 1997",Day and night,Pepsi Independence Cup,New Zealand,bat first,India
India,Sri Lanka,Sri Lanka,229,5,225,5,away,"May 17, 1997",Day and night,Pepsi Independence Cup,India,bat first,India
Sri Lanka,New Zealand,Sri Lanka,214,10,162,10,away,"May 20, 1997",Day and night,Pepsi Independence Cup,Sri Lanka,bat first,India
Pakistan,India,Pakistan,327,5,292,5,away,"May 21, 1997",Day and night,Pepsi Independence Cup,Pakistan,bat first,India
Australia,England,England,175,4,170,4,home,"May 22, 1997",Day,Australia tour of England and Scotland,England,field first,England
Sri Lanka,Pakistan,Sri Lanka,339,4,224,4,away,"May 24, 1997",Day and night,Pepsi Independence Cup,Sri Lanka,bat first,India
Australia,England,England,253,4,249,4,home,"May 24, 1997",Day,Australia tour of England and Scotland,England,field first,England
Australia,England,England,270,4,269,4,home,"May 25, 1997",Day,Australia tour of England and Scotland,England,field first,England
Sri Lanka,Pakistan,Sri Lanka,309,10,224,10,away,"May 27, 1997",Day and night,Pepsi Independence Cup,Sri Lanka,bat first,India
West Indies,Sri Lanka,West Indies,283,7,248,7,home,"Jun 6, 1997",Day,Sri Lanka tour of West Indies,Sri Lanka,field first,West Indies
Sri Lanka,Pakistan,Sri Lanka,239,10,224,10,home,"Jul 14, 1997",Day,Pepsi Asia Cup,Pakistan,field first,Sri Lanka
Pakistan,Bangladesh,Pakistan,319,5,210,5,away,"Jul 16, 1997",Day,Pepsi Asia Cup,Pakistan,bat first,Sri Lanka
India,Sri Lanka,Sri Lanka,231,4,227,4,home,"Jul 18, 1997",Day,Pepsi Asia Cup,Sri Lanka,field first,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,296,4,193,4,home,"Jul 22, 1997",Day,Pepsi Asia Cup,Bangladesh,field first,Sri Lanka
Bangladesh,India,India,132,1,130,1,away,"Jul 24, 1997",Day,Pepsi Asia Cup,India,field first,Sri Lanka
India,Sri Lanka,Sri Lanka,240,2,239,2,home,"Jul 26, 1997",Day,Pepsi Asia Cup,India,bat first,Sri Lanka
Sri Lanka,India,Sri Lanka,302,4,300,4,home,"Aug 17, 1997",Day and night,India tour of Sri Lanka,India,field first,Sri Lanka
India,Sri Lanka,Sri Lanka,241,3,238,3,home,"Aug 20, 1997",Day and night,India tour of Sri Lanka,Sri Lanka,field first,Sri Lanka
Sri Lanka,India,Sri Lanka,264,10,255,10,home,"Aug 24, 1997",Day,India tour of Sri Lanka,India,field first,Sri Lanka
India,Pakistan,India,208,10,188,10,away,"Sep 13, 1997",Day,Pakistan tour of Canada,Pakistan,field first,Canada
Pakistan,India,India,117,3,116,3,away,"Sep 14, 1997",Day,Pakistan tour of Canada,Pakistan,bat first,Canada
India,Pakistan,India,182,6,148,6,away,"Sep 18, 1997",Day,Pakistan tour of Canada,Pakistan,field first,Canada
Pakistan,India,India,162,3,159,3,away,"Sep 20, 1997",Day,Pakistan tour of Canada,India,field first,Canada
India,Pakistan,Pakistan,251,5,250,5,away,"Sep 21, 1997",Day,Pakistan tour of Canada,Pakistan,field first,Canada
India,Pakistan,Pakistan,171,5,170,5,home,"Sep 28, 1997",Day,India tour of Pakistan,India,bat first,Pakistan
Pakistan,India,India,266,6,265,6,away,"Sep 30, 1997",Day,India tour of Pakistan,Pakistan,bat first,Pakistan
India,Pakistan,Pakistan,219,1,216,1,home,"Oct 2, 1997",Day and night,India tour of Pakistan,Pakistan,field first,Pakistan
New Zealand,Zimbabwe,Zimbabwe,188,7,185,7,home,"Oct 4, 1997",Day,New Zealand tour of Zimbabwe,New Zealand,bat first,Zimbabwe
New Zealand,Zimbabwe,New Zealand,294,7,211,7,away,"Oct 5, 1997",Day,New Zealand tour of Zimbabwe,New Zealand,bat first,Zimbabwe
Kenya,Bangladesh,Kenya,347,3,197,3,home,"Oct 10, 1997",Day,President's Cup,Bangladesh,field first,Kenya
Zimbabwe,Bangladesh,Zimbabwe,305,4,257,4,away,"Oct 11, 1997",Day,President's Cup,Zimbabwe,bat first,Kenya
Kenya,Zimbabwe,Zimbabwe,244,4,249,4,away,"Oct 12, 1997",Day,President's Cup,Kenya,bat first,Kenya
Zimbabwe,Bangladesh,Zimbabwe,284,10,92,10,away,"Oct 14, 1997",Day,President's Cup,Zimbabwe,bat first,Kenya
Bangladesh,Kenya,Kenya,102,2,100,2,home,"Oct 15, 1997",Day,President's Cup,Bangladesh,bat first,Kenya
Kenya,Zimbabwe,Zimbabwe,210,3,207,3,away,"Oct 16, 1997",Day,President's Cup,Zimbabwe,field first,Kenya
Zimbabwe,Kenya,Zimbabwe,281,8,172,8,away,"Oct 18, 1997",Day,President's Cup,Zimbabwe,bat first,Kenya
Zimbabwe,Kenya,Zimbabwe,272,6,190,6,away,"Oct 19, 1997",Day,President's Cup,Zimbabwe,bat first,Kenya
West Indies,Sri Lanka,Sri Lanka,240,3,237,3,away,"Nov 1, 1997",Day and night,Wills Quadrangular Tournament,Sri Lanka,field first,Pakistan
South Africa,Pakistan,South Africa,271,10,262,10,away,"Nov 2, 1997",Day and night,Wills Quadrangular Tournament,Pakistan,field first,Pakistan
West Indies,South Africa,South Africa,297,5,293,5,away,"Nov 3, 1997",Day and night,Wills Quadrangular Tournament,South Africa,field first,Pakistan
West Indies,Pakistan,Pakistan,219,2,215,2,home,"Nov 4, 1997",Day and night,Wills Quadrangular Tournament,Pakistan,field first,Pakistan
Pakistan,Sri Lanka,Sri Lanka,281,2,280,2,away,"Nov 5, 1997",Day and night,Wills Quadrangular Tournament,Sri Lanka,field first,Pakistan
South Africa,Sri Lanka,South Africa,311,9,245,9,away,"Nov 6, 1997",Day and night,Wills Quadrangular Tournament,Sri Lanka,field first,Pakistan
Sri Lanka,South Africa,South Africa,210,6,209,6,away,"Nov 8, 1997",Day and night,Wills Quadrangular Tournament,South Africa,field first,Pakistan
South Africa,Australia,South Africa,200,10,133,10,away,"Dec 4, 1997",Day and night,Carlton & United Series,South Africa,bat first,Australia
New Zealand,South Africa,New Zealand,224,6,177,6,away,"Dec 6, 1997",Day and night,Carlton & United Series,South Africa,field first,Australia
New Zealand,Australia,Australia,263,7,260,7,home,"Dec 7, 1997",Day and night,Carlton & United Series,New Zealand,bat first,Australia
